id,Sex,Cohort,Group,Subgroup,ngen,coat_color
1,male,Fall,1,1B,4,AG
4,male,Fall,1,1A,4,AG
5,male,Fall,1,1A,4,AG
6,male,Fall,1,1A,4,WH
7,male,Fall,1,1A,4,BL
8,male,Fall,1,1A,4,AG
9,male,Fall,1,1A,4,AG
10,male,Fall,1,1A,4,AG
11,male,Fall,1,1A,4,AG
13,male,Fall,1,1A,4,AG
14,male,Fall,1,1A,4,AG
15,male,Fall,1,1A,4,AG
16,male,Fall,1,1B,4,BL
17,male,Fall,1,1B,4,BL
18,male,Fall,1,1B,4,AG
19,male,Fall,1,1B,4,WH
20,male,Fall,1,1B,4,WH
21,male,Fall,1,1B,4,AG
22,male,Fall,1,1B,4,AG
23,male,Fall,1,1B,4,WH
24,male,Fall,1,1B,4,AG
25,male,Fall,1,1B,4,AG
26,male,Fall,2,2B,4,AG
27,male,Fall,2,2B,4,AG
28,male,Fall,2,2B,4,AG
31,male,Fall,2,2B,4,WH
32,male,Fall,2,2A,4,AG
33,male,Fall,2,2A,4,AG
34,male,Fall,2,2A,4,AG
35,male,Fall,2,2A,4,AG
36,male,Fall,2,2A,4,AG
37,male,Fall,2,2A,4,AG
38,male,Fall,2,2A,4,AG
39,male,Fall,2,2A,4,AG
40,male,Fall,2,2A,4,AG
41,male,Fall,2,2A,4,AG
42,male,Fall,2,2A,4,AG
43,male,Fall,2,2A,4,AG
44,male,Fall,2,2B,4,AG
45,male,Fall,2,2B,4,AG
46,male,Fall,2,2B,4,AG
47,male,Fall,2,2B,4,AG
48,male,Fall,2,2B,4,AG
49,male,Fall,2,2B,4,BL
50,male,Fall,2,2B,4,AG
51,male,Fall,2,2B,4,AG
52,male,Fall,3,3A,4,AG
53,male,Fall,3,3A,4,BL
54,male,Fall,3,3A,4,BL
55,male,Fall,3,3A,4,AG
56,male,Fall,3,3A,4,AG
57,male,Fall,3,3A,4,AG
58,female,Fall,1,1A,4,WH
59,female,Fall,1,1A,4,AG
60,female,Fall,1,1A,4,AG
61,female,Fall,1,1A,4,AG
62,female,Fall,1,1A,4,AG
63,female,Fall,1,1A,4,AG
64,female,Fall,1,1A,4,AG
65,female,Fall,1,1A,4,AG
66,female,Fall,1,1A,4,AG
67,female,Fall,1,1A,4,AG
68,female,Fall,1,1A,4,BR
69,female,Fall,1,1A,4,AG
70,female,Fall,1,1B,4,AG
71,female,Fall,1,1B,4,AG
72,female,Fall,1,1B,4,AG
73,female,Fall,1,1B,4,WH
74,female,Fall,1,1B,4,AG
75,female,Fall,1,1B,4,AG
76,female,Fall,1,1B,4,AG
77,female,Fall,1,1B,4,AG
78,female,Fall,1,1B,4,AG
79,female,Fall,1,1B,4,AG
80,female,Fall,1,1B,4,AG
82,female,Fall,2,2A,4,AG
83,female,Fall,2,2A,4,AG
84,female,Fall,2,2A,4,AG
85,female,Fall,2,2A,4,AG
86,female,Fall,2,2A,4,AG
87,female,Fall,2,2A,4,AG
88,male,Fall,3,3A,4,AG
89,male,Fall,3,3A,4,AG
92,male,Fall,3,3A,4,AG
93,male,Fall,3,3A,4,BL
94,male,Fall,3,3B,4,AG
95,male,Fall,3,3B,4,AG
96,male,Fall,3,3B,4,AG
97,male,Fall,3,3B,4,AG
98,female,Fall,2,2A,4,WH
99,female,Fall,2,2A,4,AG
100,female,Fall,2,2A,4,AG
101,female,Fall,2,2A,4,AG
102,female,Fall,2,2A,4,AG
103,female,Fall,2,2A,4,WH
104,female,Fall,2,2B,4,AG
105,female,Fall,2,2B,4,AG
106,female,Fall,2,2B,4,AG
107,female,Fall,2,2B,4,AG
108,male,Fall,3,3B,4,BR
109,male,Fall,3,3B,4,BR
110,male,Fall,3,3B,4,AG
111,male,Fall,3,3B,4,AG
112,male,Fall,3,3B,4,AG
113,male,Fall,3,3B,4,WH
114,male,Fall,3,3B,4,AG
115,male,Fall,3,3B,4,AG
116,male,Fall,4,4B,4,AG
117,male,Fall,4,4B,4,AG
118,female,Fall,2,2B,4,AG
119,female,Fall,2,2B,4,AG
120,female,Fall,2,2B,4,AG
121,female,Fall,2,2B,4,AG
122,female,Fall,2,2B,4,AG
123,female,Fall,2,2B,4,AG
124,female,Fall,2,2B,4,AG
125,female,Fall,2,2B,4,AG
126,female,Fall,3,3A,4,AG
127,female,Fall,3,3A,4,AG
128,male,Fall,4,4A,4,AG
129,male,Fall,4,4A,4,AG
130,male,Fall,4,4A,4,AG
131,male,Fall,4,4A,4,AG
132,male,Fall,4,4A,4,AG
133,male,Fall,4,4A,4,AG
134,male,Fall,4,4A,4,AG
135,female,Fall,3,3A,4,WH
136,female,Fall,3,3A,4,AG
137,female,Fall,3,3A,4,AG
138,female,Fall,3,3A,4,AG
139,female,Fall,3,3A,4,AG
140,female,Fall,3,3B,4,WH
141,female,Fall,3,3B,4,AG
142,female,Fall,3,3B,4,AG
143,female,Fall,3,3B,4,AG
144,male,Fall,4,4A,4,BL
145,male,Fall,4,4A,4,BL
146,male,Fall,4,4A,4,AG
147,male,Fall,4,4A,4,AG
148,male,Fall,4,4A,4,AG
149,male,Fall,4,4B,4,AG
150,male,Fall,4,4B,4,AG
151,male,Fall,4,4B,4,AG
152,male,Fall,4,4B,4,AG
153,male,Fall,4,4B,4,AG
154,female,Fall,3,3A,4,WH
155,female,Fall,3,3A,4,BL
156,female,Fall,3,3A,4,AG
157,female,Fall,3,3A,4,AG
158,female,Fall,3,3A,4,AG
159,female,Fall,3,3B,4,WH
160,female,Fall,3,3B,4,BR/TN
161,female,Fall,3,3B,4,AG
162,female,Fall,3,3B,4,AG
163,female,Fall,3,3B,4,AG
164,female,Fall,3,3B,4,AG
165,female,Fall,3,3B,4,AG
166,female,Fall,3,3B,4,AG
167,female,Fall,4,4A,4,AG
168,female,Fall,4,4A,4,AG
169,female,Fall,4,4B,4,AG
170,female,Fall,4,4B,4,AG
173,female,Fall,4,4A,4,AG
174,female,Fall,4,4A,4,AG
175,female,Fall,4,4A,4,AG
176,female,Fall,4,4A,4,AG
177,female,Fall,4,4A,4,AG
178,female,Fall,4,4A,4,WH
179,female,Fall,4,4A,4,BL
180,female,Fall,4,4A,4,AG
181,female,Fall,4,4A,4,AG
182,female,Fall,4,4A,4,AG
183,female,Fall,4,4B,4,WH
184,female,Fall,4,4B,4,AG
185,female,Fall,4,4B,4,AG
186,female,Fall,4,4B,4,AG
187,female,Fall,4,4B,4,AG
188,female,Fall,4,4B,4,AG
189,female,Fall,4,4B,4,AG
190,female,Fall,4,4B,4,AG
191,female,Fall,4,4B,4,AG
192,female,Fall,4,4B,4,AG
201,male,Spring,5,5B,5,AG
202,male,Spring,5,5A,5,WH
203,male,Spring,5,5A,5,AG
204,male,Spring,5,5A,5,AG
205,male,Spring,5,5A,5,AG
206,female,Spring,5,5A,5,BL
207,female,Spring,5,5A,5,BL
208,female,Spring,5,5A,5,AG
210,female,Spring,5,5A,5,WH
211,female,Spring,5,5A,5,BL
213,female,Spring,5,5A,5,AG
214,male,Spring,5,5A,5,AG
215,male,Spring,5,5A,5,AG
216,male,Spring,5,5A,5,AG
217,male,Spring,5,5A,5,AG
218,male,Spring,5,5A,5,BR
219,male,Spring,5,5A,5,WH
220,male,Spring,5,5A,5,BL
221,male,Spring,5,5A,5,AG
223,male,Spring,5,5B,5,BL
226,male,Spring,5,5B,5,AG
228,male,Spring,5,5B,5,AG
231,male,Spring,5,5B,5,AG
232,male,Spring,5,5B,5,AG
233,male,Spring,5,5B,5,AG
234,male,Spring,5,5B,5,AG
235,female,Spring,5,5A,5,AG
236,female,Spring,5,5A,5,AG
237,female,Spring,5,5A,5,AG
238,female,Spring,5,5A,5,AG
239,female,Spring,5,5B,5,WH
240,female,Spring,5,5B,5,AG
243,male,Spring,6,6A,5,BL
244,male,Spring,6,6A,5,AG
245,male,Spring,6,6A,5,AG
246,male,Spring,6,6A,5,AG
247,male,Spring,6,6A,5,BL
248,male,Spring,6,6A,5,AG
250,male,Spring,6,6A,5,AG
251,female,Spring,5,5B,5,AG
252,female,Spring,5,5B,5,AG
253,female,Spring,5,5B,5,AG
256,female,Spring,5,5B,5,AG
257,female,Spring,5,5B,5,AG
258,female,Spring,5,5B,5,AG
259,male,Spring,6,6A,5,BL
260,male,Spring,6,6A,5,AG
261,male,Spring,6,6A,5,AG
263,male,Spring,6,6B,5,AG
264,male,Spring,6,6B,5,AG
265,male,Spring,6,6B,5,AG
266,male,Spring,6,6B,5,AG
268,male,Spring,6,6B,5,AG
270,male,Spring,6,6B,5,AG
271,male,Spring,6,6B,5,AG
273,male,Spring,6,6B,5,AG
274,male,Spring,6,6B,5,AG
275,female,Spring,6,6A,5,BL
277,female,Spring,6,6A,5,AG
278,female,Spring,6,6A,5,AG
279,female,Spring,6,6A,5,BR
280,female,Spring,6,6A,5,AG
282,female,Spring,6,6A,5,AG
283,female,Spring,6,6A,5,AG
284,female,Spring,6,6A,5,AG
285,female,Spring,6,6A,5,AG
286,female,Spring,6,6A,5,AG
287,female,Spring,6,6B,5,AG
288,female,Spring,6,6B,5,AG
289,female,Spring,6,6B,5,AG
290,female,Spring,6,6B,5,AG
291,female,Spring,6,6B,5,WH
292,female,Spring,6,6B,5,AG
293,female,Spring,6,6B,5,AG
294,female,Spring,6,6B,5,AG
295,female,Spring,6,6B,5,AG
296,female,Spring,6,6B,5,AG
297,female,Spring,6,6B,5,AG
298,female,Spring,6,6B,5,AG
