id,OF_distance_first4,OF_distance,OF_corner_pct,OF_periphery_pct,OF_immobile_pct,OF_center_pct,LD_distance_light,LD_transitions,LD_light_first4,LD_light_pct,VC_top_distance_first4,VC_top_time_first4,VC_top_distance,VC_top_time_pct,VC_top_velocity,VC_bottom_distance_first4,VC_bottom_time_first4,VC_bottom_distance,VC_bottom_time_pct,VC_bottom_velocity,VC_bottom_transitions,HP_latency,TS_frequency_climbing,TS_time_immobile,TS_latency_immobile,bw
1,1367.31,5711.15,58.45,5.53,82.75,3.39,2666.51,33.00,102.03,52.23,1441.69,111.48,3822.80,31.44,10.48,1256.00,128.52,5707.48,68.56,8.28,72.00,6.55,10,86.29,1.94,26.0
4,2598.86,12728.03,55.86,8.16,58.21,1.54,7195.21,45.00,104.00,56.50,1863.56,127.19,8709.12,58.95,12.67,1230.10,98.39,6448.69,39.85,14.57,88.00,6.30,0,99.10,0.47,20.8
5,2343.81,11179.11,31.82,2.66,63.22,5.93,6111.97,28.00,106.73,55.17,2491.35,145.41,7242.45,48.71,12.15,1482.71,94.59,7247.97,51.29,12.54,139.00,4.93,0,139.74,2.40,30.1
6,1146.52,7113.21,34.59,13.86,64.11,5.94,2703.62,32.00,87.29,40.66,976.24,156.58,4403.71,40.15,9.62,750.82,83.42,6037.62,59.85,9.20,41.00,4.45,23,18.95,0.60,24.8
7,704.52,4117.87,30.35,8.49,94.25,6.58,1804.32,32.00,67.43,31.90,1417.20,139.01,5278.58,71.16,6.45,822.48,100.73,2375.54,28.81,6.94,33.00,7.17,0,238.64,0.07,31.7
8,1710.87,6438.34,47.34,4.68,86.06,3.02,2178.14,26.00,89.98,35.24,1677.20,130.00,4514.51,68.16,5.99,1424.76,110.00,3257.83,31.84,8.29,49.00,7.09,0,65.87,0.47,34.2
9,1733.32,7533.69,49.54,6.26,70.96,6.52,2716.46,31.00,131.06,30.08,1896.85,177.27,6578.03,67.84,8.09,816.58,62.73,3669.20,32.16,10.22,58.00,7.01,25,18.82,0.73,24.6
10,1355.29,4551.67,30.31,1.75,93.13,4.43,1530.46,33.00,80.45,27.82,1363.87,239.27,4606.28,92.02,4.20,26.31,0.73,1038.29,7.98,15.90,15.00,12.74,0,89.82,4.00,34.5
11,1364.86,5597.93,56.00,11.60,72.44,0.95,2215.02,13.00,62.90,35.19,1467.80,185.98,5303.82,75.27,5.88,621.52,54.02,2823.43,24.73,11.63,26.00,2.62,0,83.22,0.73,26.3
13,387.99,2588.24,89.68,4.49,97.99,1.24,114.48,26.00,197.83,16.49,,,,,,,,,,,,6.49,0,96.70,0.13,36.2
14,2537.07,7989.42,61.92,12.67,74.58,1.13,3431.64,35.00,129.66,49.15,1970.06,104.46,3901.51,22.43,13.31,2120.83,135.54,6687.43,77.57,8.17,36.00,6.46,1,166.03,0.40,30.6
15,1748.08,3435.74,73.73,3.71,93.95,0.81,677.34,17.00,,,1234.43,176.84,5592.50,67.94,7.05,900.97,63.16,4163.93,32.06,11.91,72.00,3.18,4,108.64,0.33,33.2
