marker,chr,pos
JAX00240603,1,3.252796
UNC010515443,1,3.668628
UNC010001943,1,3.97713
UNC010515539,1,4.430623
UNC010515556,1,4.531029
UNC010516347,1,6.020779
UNC011026542,1,6.777896
UNC010005983,1,7.650439
UNC010010509,1,8.277576
UNC010013426,1,8.843139
JAX00000461,1,9.24798
backupJAX00000484,1,9.553973
UNC010016945,1,9.774388
JAX00241750,1,10.279703
UNC010019700,1,11.101049
UNC010961842,1,11.139173
UNC_rs48518594,1,11.672648
UNC010520877,1,12.722538
JAX00000747,1,13.055719
JAX00000824,1,14.07703
backupUNC010029391,1,14.350467
UNC010030595,1,14.698538
JAX00242845,1,15.718815
JAX00000980,1,16.162132
UNC010035232,1,16.303766
UNC010687234,1,16.98167
JAX00243111,1,17.31631
UNC010036966,1,17.595239
backupUNC010039427,1,18.273811
JAX00001157,1,18.508483
JAX00001223,1,19.411723
UNC010523586,1,19.838001
JAX00001283,1,20.201542
backupUNC010044640,1,20.832381
backupUNC010527629,1,21.300176
UNC010046230,1,21.40414
UNC010529057,1,22.749886
UNC010530523,1,23.495995
backupUNC010532073,1,24.004775
UNC010440650,1,24.605537
JAX00001692,1,25.697943
UNC010440931,1,26.102661
UNC010535074,1,26.645442
backupUNC011181136,1,28.092722
UNC010537386,1,28.154675
UNC010054938,1,28.610405
UNC010055709,1,28.843416
UNC010058011,1,29.161192
backupUNC010059535,1,29.587166
backupUNC010060568,1,30.020863
backupUNC010060795,1,30.320509
backupUNC010061308,1,30.774797
backupUNC010062452,1,31.405679
UNC010062500,1,31.663163
backupUNC010539556,1,32.634721
UNC010539663,1,33.033973
JAX00002267,1,33.370176
UNC010540261,1,33.721638
UNC010442447,1,34.119015
backupUNC010066723,1,34.413492
UNC010542162,1,34.951753
UNC010442706,1,35.102343
JAX00246633,1,35.405706
backupUNC010548191,1,36.785103
UNC010549141,1,37.055248
backupUNC011221975,1,37.194145
UNC010551393,1,38.174018
JAX00247585,1,38.477112
UNC010551883,1,38.734658
JAX00247780,1,39.016071
JAX00002710,1,39.261548
UNC012187196,1,39.83625
UNC010073213,1,40.137256
UNC010443328,1,40.183129
UNC010074671,1,40.58036
backupUNC010074862,1,40.791247
UNC010075571,1,41.612785
UNC010443677,1,42.182006
UNC010077196,1,42.498429
JAX00002972,1,42.758562
JAX00248843,1,43.046986
UNC010078808,1,43.272938
JAX00249009,1,43.686349
JAX00003040,1,43.686478
JAX00249075,1,43.887475
backupUNC010557791,1,44.182604
UNC010084304,1,44.950599
UNC011275068,1,45.543122
backupUNC010086952,1,45.663297
UNC010712538,1,46.113684
UNC010089266,1,46.520671
backupUNC010089879,1,46.860368
UNC010559810,1,47.189877
backupUNC010715008,1,47.623208
UNC010715287,1,47.734389
JAX00003394,1,48.405811
UNC010561617,1,48.544181
UNC010093480,1,49.534867
UNC011311574,1,50.756819
backupJAX00003592,1,51.074008
UNC010098122,1,51.598501
JAX00250556,1,51.849627
UNC011325355,1,52.580402
JAX00003707,1,52.594475
UNC010720695,1,52.923274
JAX00250952,1,53.216471
JAX00003792,1,53.715656
